EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 5516054849345237888,-0.099558,0.134751,124.56220570948,-47.65515971825,0.2202,0.114,-2.899,0.123,2.976,0.131,18.449308,0.003163,1.586626,0.03524901336162001
Gaia EDR3 5516054879399249408,-0.116595,0.142764,124.53694032333,-47.64711116479,0.1946,0.2097,-2.867,0.234,4.107,0.258,19.407463,0.003877,1.381826,0.05722210321827534
Gaia EDR3 5516054879400726656,-0.121684,0.139286,124.52937339021,-47.65057824956,0.0834,0.0997,-2.857,0.113,5.889,0.121,18.324076,0.003097,1.503555,0.025778059798019226
Gaia EDR3 5516054879400734720,-0.114486,0.142789,124.54007026376,-47.64709092584,-0.028,0.1435,-1.468,0.157,2.386,0.168,18.866348,0.003328,1.158506,0.03444997363999836
Gaia EDR3 5516054879403260928,-0.115805,0.136355,124.53809060512,-47.65352229175,0.983,0.1039,-2.102,0.119,8.817,0.121,18.370264,0.003147,1.738541,0.026170058902512016
Gaia EDR3 5516054883692325376,-0.12492,0.138519,124.52456682765,-47.65133716014,0.2304,0.5265,-4.897,0.536,4.619,0.626,20.445381,0.007384,1.704161,0.15027624412164267
Gaia EDR3 5516054883692340736,-0.116407,0.139185,124.53720723434,-47.65069088171,3.6504,2.2699,-1.607,1.616,5.168,2.682,20.810995,0.013207,1.252096,0.2038497595710137
Gaia EDR3 5516054883692345984,-0.116604,0.133194,124.5368939013,-47.65668158618,,,,,,,20.951124,0.017944,0.900143,0.2894552719898172
Gaia EDR3 5516054883704168320,-0.123719,0.13491,124.52633732652,-47.65494964257,0.3153,0.0628,-1.79,0.071,5.864,0.072,17.468838,0.002908,1.419624,0.013683892545714225
Gaia EDR3 5516054883704169088,-0.123037,0.131989,124.5273392036,-47.65787216566,0.2628,0.2084,-4.097,0.238,3.891,0.249,19.314728,0.003897,1.73638,0.06831604147299439
Gaia EDR3 5516054883704170112,-0.12125,0.133888,124.5299993416,-47.65597673655,-0.2175,0.3757,-2.133,0.401,4.015,0.535,20.099653,0.005692,1.182159,0.1400169939643785
Gaia EDR3 5516054883704170240,-0.12219,0.131481,124.52859611193,-47.65838184167,0.1758,0.2091,-2.457,0.237,4.569,0.259,19.282135,0.003929,1.498991,0.044671562883716764
Gaia EDR3 5516054883704171136,-0.115615,0.141338,124.53838902239,-47.64853977837,1.631,0.165,12.216,0.183,-14.343,0.186,17.002228,0.003629,2.336362,0.011114334770367544
Gaia EDR3 5516054883704171520,-0.118614,0.134453,124.53391513365,-47.65541768337,0.4139,0.0327,-5.254,0.037,3.233,0.037,16.055525,0.002788,1.330573,0.005755216688042814
Gaia EDR3 5516054883704172032,-0.116602,0.137112,124.53691058622,-47.65276399752,1.5455,0.1285,-3.313,0.14,8.84,0.14,16.608929,0.004043,1.210786,0.00726818568905763
Gaia EDR3 5516054913758876928,-0.115256,0.148211,124.53894499351,-47.64166737487,-0.1688,0.4708,-1.081,0.563,3.17,0.673,20.356394,0.006818,1.266134,0.14713191932296477
Gaia EDR3 5516054913760472064,-0.11022,0.143036,124.54640389017,-47.64685358512,0.26,0.301,-3.537,0.323,2.566,0.368,19.86031,0.004784,1.380808,0.06876088414752851
Gaia EDR3 5516054913760482816,-0.113796,0.147302,124.54110831539,-47.64257969171,0.1973,0.1356,-3.138,0.157,3.428,0.155,18.715172,0.003431,1.435936,0.030342269903879393
Gaia EDR3 5516054913760486016,-0.106546,0.148955,124.55187433207,-47.64094258792,0.0191,0.3579,-1.231,0.401,2.336,0.441,20.053238,0.005732,1.306698,0.08859515621672243
Gaia EDR3 5516054913761118208,-0.111899,0.139931,124.54390136651,-47.6499546156,-0.2642,0.3021,-2.404,0.328,3.935,0.346,19.86329,0.004704,1.265677,0.07415908236680861
Gaia EDR3 5516054918052083200,-0.110736,0.145878,124.54564557901,-47.64401030348,-0.2884,0.4818,-2.921,0.505,3.158,0.642,20.341251,0.006689,1.267168,0.08852252196227688
Gaia EDR3 5516054918059979392,-0.11126,0.144887,124.54486604326,-47.64499994861,2.4692,1.1229,-10.478,0.948,19.759,1.475,20.777422,0.011722,2.212715,0.22070789198682964
Gaia EDR3 5516054918063913472,-0.107883,0.145444,124.54987912396,-47.64445041835,0.3793,0.0258,-2.052,0.029,4.047,0.031,15.684185,0.002782,1.05264,0.0053736513972739396
Gaia EDR3 5516054948118523392,-0.143521,0.121603,124.49688584496,-47.66820500098,0.0488,0.2295,-2.273,0.271,3.68,0.278,19.51334,0.00419,1.421038,0.07131754864928311
Gaia EDR3 5516054948120171264,-0.141524,0.125235,124.4998655814,-47.66457863829,0.3479,0.1629,-1.541,0.176,4.006,0.199,18.9731,0.003553,1.312691,0.04662703464850039
Gaia EDR3 5516054948120187392,-0.147474,0.130836,124.49105451457,-47.65896100489,-0.0826,0.228,-0.818,0.25,2.911,0.269,19.540144,0.004091,1.417755,0.05601965228625593
Gaia EDR3 5516054948120196352,-0.144644,0.134661,124.49527205711,-47.65514444283,0.3566,0.4433,-1.933,0.5,4.643,0.579,20.31997,0.006455,1.262587,0.09431599208938271
Gaia EDR3 5516054952411777536,-0.149647,0.117144,124.48777007864,-47.6726473234,0.5404,0.2525,-0.897,0.283,3.142,0.312,19.695522,0.004613,0.947508,0.08978632780456318
Gaia EDR3 5516054952423636352,-0.149352,0.117727,124.48821096459,-47.67206549567,0.0454,0.1391,-1.403,0.152,2.23,0.177,18.799768,0.003347,1.647421,0.04030845989193374
Gaia EDR3 5516054952423638144,-0.146915,0.116361,124.4918246641,-47.67343823252,0.1046,0.0272,-2.232,0.031,3.134,0.032,15.832633,0.002789,1.972851,0.006397812144331353
Gaia EDR3 5516054952423918464,-0.145512,0.133553,124.49397874222,-47.65625018958,0.6056,0.3634,-3.925,0.421,3.025,0.468,20.003864,0.005094,1.725771,0.09047305245093115
Gaia EDR3 5516054982479923072,-0.139663,0.130309,124.5026490119,-47.65951009775,0.2036,0.3966,-1.438,0.401,2.895,0.475,20.141033,0.005856,1.519756,0.1244391193027908
