EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 2929401788773870080,-0.073199,0.096488,105.69274507143,-20.72050020917,-0.0054,0.137,-0.18,0.119,2.068,0.153,18.521383,0.003076,1.023754,0.03138678144270342
Gaia EDR3 2929401788773877888,-0.064916,0.098884,105.70160166999,-20.71810778495,0.0867,0.3464,-0.408,0.349,0.699,0.488,19.787643,0.004254,1.162622,0.06639532813732334
Gaia EDR3 2929401788773885824,-0.065572,0.101257,105.70090166521,-20.71573429363,0.314,0.3751,-0.339,0.326,1.305,0.464,19.87205,0.004436,1.194538,0.08334190807770633
Gaia EDR3 2929401788773887232,-0.06772,0.1015,105.69860541075,-20.71549038054,0.3062,0.357,-0.818,0.307,0.985,0.385,19.63435,0.004079,1.146112,0.06750284749055871
Gaia EDR3 2929401793071706112,-0.06311,0.099588,105.70353271483,-20.7174047091,1.7461,0.5967,3.168,0.469,5.513,0.736,20.375624,0.005722,1.825516,0.13425407626886818
Gaia EDR3 2929401793071718144,-0.058677,0.093429,105.70827030347,-20.72356564998,,,,,,,19.119377,0.004654,,
Gaia EDR3 2929401793071719680,-0.059877,0.09401,105.70698698394,-20.72298427155,,,,,,,20.830784,0.016099,,
Gaia EDR3 2929401793071746304,-0.067513,0.095004,105.69882395564,-20.72198678601,0.1204,0.2113,0.181,0.24,1.32,0.238,18.907179,0.003725,,
Gaia EDR3 2929401793071801984,-0.073442,0.092154,105.69248278293,-20.72483413014,,,,,,,20.937319,0.021305,0.931007,0.23745808198311133
Gaia EDR3 2929401793078137984,-0.058845,0.093511,105.70809030278,-20.72348376952,0.8432,0.1173,-1.115,0.1,3.921,0.136,17.276402,0.002963,1.118286,0.017312874835826737
Gaia EDR3 2929401793078138624,-0.059636,0.093805,105.70724474529,-20.72318917282,0.7136,0.0439,-0.34,0.039,4.353,0.049,16.435698,0.002792,1.169325,0.00654269049224313
Gaia EDR3 2929401793078141824,-0.062726,0.09341,105.70394092269,-20.72358274065,0.212,0.0409,-0.773,0.037,1.28,0.047,16.305237,0.002786,0.837109,0.00589064034293899
Gaia EDR3 2929401793078142976,-0.062418,0.092247,105.70426984868,-20.72474565347,0.4706,0.0279,-0.355,0.024,-0.335,0.029,15.044845,0.002772,0.817901,0.004973945760731543
Gaia EDR3 2929401793078144384,-0.067448,0.095317,105.69889350573,-20.72167353411,0.1224,0.1528,-0.074,0.133,1.278,0.171,18.624035,0.003287,1.027737,0.037558400495003114
Gaia EDR3 2929401793078145024,-0.061687,0.09081,105.70505106702,-20.72618310794,0.2223,0.0632,-1.554,0.057,1.856,0.071,17.062716,0.002822,1.027872,0.008156016147124136
Gaia EDR3 2929401793078145152,-0.068704,0.095897,105.69755052706,-20.72109377322,0.3092,0.0572,-1.637,0.051,3.259,0.067,16.921082,0.002813,0.947441,0.007886971729321748
Gaia EDR3 2929401793078148352,-0.064035,0.089281,105.70253978374,-20.72771125235,0.1159,0.0377,-0.292,0.034,1.748,0.042,16.049232,0.002946,0.454176,0.007186740480925047
Gaia EDR3 2929401793078148992,-0.065073,0.089455,105.70142984401,-20.72753722886,0.2846,0.132,-0.736,0.113,0.636,0.153,18.35627,0.00304,1.068634,0.01960250025817179
Gaia EDR3 2929401823133588736,-0.092055,0.091375,105.67258164558,-20.72560324122,0.2511,0.171,-1.12,0.148,0.232,0.182,18.823767,0.003225,1.127718,0.028278510641920235
Gaia EDR3 2929401823133614208,-0.090124,0.098057,105.67465088284,-20.71892197863,-0.0504,0.2794,-1.079,0.237,2.888,0.301,19.40278,0.003621,1.125984,0.037696023301214215
Gaia EDR3 2929401823133616384,-0.087998,0.099045,105.67692356083,-20.71793565653,1.1198,0.1156,-8.513,0.099,14.542,0.124,18.10818,0.002964,1.843166,0.02116331554818865
Gaia EDR3 2929401823133624320,-0.0903,0.101335,105.67446471914,-20.71564417749,-1.6565,0.5562,0.377,0.484,1.262,0.685,20.389734,0.005683,0.961229,0.10421480682181011
Gaia EDR3 2929401823133628800,-0.086717,0.102085,105.67829525074,-20.71489649303,0.1826,0.1348,0.115,0.119,1.399,0.156,18.491833,0.003079,1.043037,0.01742673955720383
Gaia EDR3 2929401827431546624,-0.081473,0.094648,105.68389735447,-20.72233652989,0.0778,0.7293,-0.491,0.788,1.879,1.369,20.531034,0.006761,0.812939,0.14470000366453045
Gaia EDR3 2929401827431549312,-0.087125,0.098235,105.67785711097,-20.71874572862,-0.1419,0.2586,-1.001,0.216,1.572,0.301,19.336395,0.003606,1.00189,0.05046122060857742
