EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 5523422019621737600,-0.082783,-0.019753,128.83561832805,-43.63970164726,0.0836,0.2045,-3.143,0.214,4.441,0.231,19.324429,0.0038,2.26807,0.07744298367512371
Gaia EDR3 5523422019622155904,-0.076124,-0.008291,128.84484026973,-43.6282490311,0.3874,0.1237,-2.918,0.128,3.271,0.143,18.459673,0.003185,2.452112,0.03863289635160679
Gaia EDR3 5523422019622161152,-0.081282,0.000636,128.83773003041,-43.61931493244,0.4509,0.2452,-3.482,0.265,5.009,0.283,19.554617,0.004082,2.343397,0.0739329218927629
Gaia EDR3 5523422019623628800,-0.078783,-0.011709,128.84116021477,-43.63166322002,-0.0426,0.409,-3.032,0.421,4.365,0.463,20.175262,0.005248,2.205919,0.14388470592985667
Gaia EDR3 5523422023917526144,-0.081896,-0.006902,128.83686826257,-43.62685182153,-0.5264,0.9091,-3.506,1.55,4.488,1.105,20.800938,0.010903,1.860207,0.2376237863629435
Gaia EDR3 5523422023917532160,-0.085055,-0.015915,128.83248613812,-43.63586063022,0.3306,0.5978,-2.847,0.554,5.157,0.581,20.45681,0.006694,2.463287,0.13784894784677224
Gaia EDR3 5523422023921920640,-0.077726,-0.012762,128.84261807259,-43.6327180331,0.1993,0.0749,-3.384,0.081,3.965,0.086,17.622343,0.002907,2.016134,0.01921451305337026
Gaia EDR3 5523422023922049536,-0.087183,-0.01259,128.82955333199,-43.63253307907,0.6011,0.3087,-3.79,0.32,4.929,0.348,19.779194,0.004533,2.545586,0.1534015044558304
Gaia EDR3 5523422023923644032,-0.083789,-0.009465,128.83424853929,-43.62941296148,4.545,1.104,-8.919,1.656,-2.085,1.822,20.701033,0.01401,2.529326,0.2059442263744316
Gaia EDR3 5523422053981897472,-0.078015,-0.003083,128.84223672931,-43.62303869687,0.2056,0.0403,-4.781,0.042,4.473,0.045,16.457708,0.002831,3.014254,0.011288099362636283
Gaia EDR3 5523422053981900928,-0.071404,0.003147,128.85137932857,-43.61681661574,1.4234,0.4627,-3.558,0.492,5.334,0.511,19.965849,0.008828,2.114019,0.1004583429001177
Gaia EDR3 5523422053981903744,-0.073302,0.006465,128.8487635057,-43.61349617851,0.3985,0.1122,-5.312,0.118,8.314,0.131,18.361013,0.003137,2.481129,0.04643221518581457
Gaia EDR3 5523422058277256448,-0.08015,0.001934,128.83929622041,-43.6180186589,,,,,,,20.986874,0.013863,1.31691,0.21696033424293654
Gaia EDR3 5523422058277280512,-0.072555,0.005344,128.84979264229,-43.61461845135,-0.3354,0.513,-2.035,0.532,6.055,0.619,20.344109,0.006035,1.94212,0.1344438897825378
Gaia EDR3 5523422058277281280,-0.076276,-0.002478,128.84464041589,-43.62243585667,0.298,0.7128,-6.535,0.84,6.645,0.867,20.692102,0.009617,1.779009,0.17956303493797987
Gaia EDR3 5523422058277287936,-0.075107,-0.002392,128.84625480537,-43.62235061401,0.645,0.6194,-3.73,0.659,5.232,0.776,20.61546,0.007638,1.995417,0.15115710930756093
Gaia EDR3 5523422058277292288,-0.071524,0.003104,128.85121383003,-43.61685887686,,,,,,,20.573427,0.026514,,
Gaia EDR3 5523422058277302400,-0.069119,0.005062,128.85453898199,-43.61490394475,0.094,0.4017,-4.493,0.4,4.721,0.431,20.196566,0.005532,1.671919,0.1410226517475799
Gaia EDR3 5523422058277303936,-0.069197,0.004224,128.85442926363,-43.61574218616,2.5809,0.0583,-10.499,0.062,-29.946,0.065,17.030115,0.003034,2.388555,0.01698366968416513
Gaia EDR3 5523422058277326720,-0.067665,-0.002226,128.85653549811,-43.62219359948,,,,,,,20.965681,0.016169,1.956819,0.35171859593906174
Gaia EDR3 5523422058281659136,-0.069271,0.003919,128.8543273188,-43.61604677339,2.5934,0.1463,-9.816,0.2,-30.259,0.16,18.578388,0.003596,,
Gaia EDR3 5523422157062582400,-0.070001,0.011489,128.85333008001,-43.60847568593,0.2992,0.5007,-1.573,0.529,3.274,0.741,20.496023,0.006614,2.240677,0.15539757379857613
Gaia EDR3 5523422088341635968,-0.059918,-0.002078,128.86723771374,-43.62205378634,0.4339,0.0947,-6.192,0.088,7.601,0.098,17.903946,0.002976,2.28616,0.01698523946864159
Gaia EDR3 5523422088341636992,-0.058505,0.000427,128.86919217287,-43.61955023086,0.226,0.1734,-4.876,0.177,3.14,0.192,18.97032,0.003535,2.116836,0.05674697780885562
Gaia EDR3 5523422088341642368,-0.052669,0.007656,128.87726313346,-43.61232676254,0.5108,0.2228,0.418,0.229,-3.556,0.246,19.45264,0.003872,2.235992,0.0780744686128343
Gaia EDR3 5523422088341646592,-0.056434,0.011486,128.87206788621,-43.6084935063,0.2482,0.0837,-3.54,0.088,3.959,0.096,17.897415,0.002938,1.85215,0.01544265494584835
Gaia EDR3 5523422088342722048,-0.055838,-0.004263,128.87287093023,-43.62424280982,0.6385,0.1109,-10.856,0.117,6.698,0.13,18.41065,0.003095,2.271839,0.04707536071319506
Gaia EDR3 5523422092637084544,-0.062329,-0.00016,128.86391002703,-43.62013311222,-0.2459,0.6217,-2.256,0.64,1.86,0.844,20.529768,0.008006,1.901835,0.15615713521479083
Gaia EDR3 5523422092637092992,-0.060088,0.001645,128.86700734497,-43.618330874,2.0676,0.2142,19.214,0.251,1.013,0.227,19.084557,0.003975,,
Gaia EDR3 5523422092637101056,-0.056788,0.005774,128.87157140581,-43.61420521974,0.1845,0.5072,-1.673,0.56,4.119,0.59,20.456316,0.006576,2.052885,0.12929268708158767
Gaia EDR3 5523422092637111552,-0.057998,-0.00184,128.86989053228,-43.62181838865,-0.8047,1.1387,0.325,1.212,8.288,1.839,20.863705,0.012368,2.042913,0.2665327802266581
Gaia EDR3 5523422092637130240,-0.054609,-0.003066,128.87457030934,-43.62304725333,0.2393,0.0609,-3.627,0.08,3.985,0.068,17.139927,0.002977,,
Gaia EDR3 5523422092637139456,-0.053159,-0.003954,128.87657141511,-43.62393651345,0.7873,1.2608,-5.715,1.667,2.461,2.114,20.856222,0.012502,1.798765,0.27188101155164457
Gaia EDR3 5523422092641403136,-0.059229,0.006445,128.86820122204,-43.61353204841,0.2342,0.0596,-3.502,0.065,3.766,0.071,17.334631,0.002862,1.689924,0.011451679658958895
Gaia EDR3 5523422092641404416,-0.060273,0.002011,128.86675324338,-43.61796432504,0.3494,0.1325,-1.741,0.135,1.649,0.147,18.350668,0.003252,2.226404,0.04027533073817696
Gaia EDR3 5523422092641412096,-0.054518,-0.002782,128.87469543203,-43.62276364853,0.8445,0.0554,-8.674,0.062,9.95,0.056,16.628355,0.002958,1.561393,0.02634617050270916
Gaia EDR3 5523422092641412992,-0.051135,0.001459,128.87937448599,-43.61852469303,0.143,0.1911,-4.822,0.193,2.923,0.211,19.20837,0.003622,2.283106,0.06345106339019013
Gaia EDR3 5523422122701379456,-0.048853,0.006202,128.88253180131,-43.6137839647,0.262,0.1446,-2.776,0.154,3.456,0.167,18.767132,0.003305,2.132856,0.034698953117989415
Gaia EDR3 5523422122701384320,-0.041688,0.01139,128.89243342621,-43.6086010498,0.1407,0.1345,-3.445,0.14,3.839,0.152,18.67019,0.003253,1.78853,0.037134130937216465
Gaia EDR3 5523422122701387776,-0.048221,0.016496,128.88341551602,-43.60349027838,0.349,0.0701,-3.097,0.076,3.189,0.082,17.58128,0.00291,1.943556,0.016526080771603713
Gaia EDR3 5523422122701389824,-0.049323,0.018801,128.88189719048,-43.60118484687,0.2034,0.105,-3.004,0.113,3.25,0.123,18.292698,0.003079,1.848112,0.027118645920561516
Gaia EDR3 5523422122701392256,-0.042245,0.02036,128.8916721739,-43.59963095464,0.2594,0.1026,-3.272,0.112,2.658,0.117,18.267523,0.003092,2.008013,0.02826893708570996
Gaia EDR3 5523422122701392384,-0.041368,0.019012,128.89288251707,-43.60097967846,0.4297,0.1927,-3.629,0.198,4.143,0.213,19.22011,0.003667,2.301868,0.0760805013505304
Gaia EDR3 5523422122702845184,-0.046788,0.004135,128.88538182511,-43.61585218959,-0.2354,0.4638,-1.668,0.541,1.956,0.576,20.281479,0.005843,2.45952,0.11149825169434549
Gaia EDR3 5523422126996833792,-0.054206,0.013556,128.87514728615,-43.60642558289,,,,,,,20.989685,0.018511,2.075388,0.28375893263286794
Gaia EDR3 5523422126996842880,-0.04842,0.021164,128.88314614995,-43.59882213486,1.1766,0.324,-0.143,0.334,-7.287,0.357,19.881735,0.004494,2.589476,0.1712045973785767
Gaia EDR3 5523422126996849536,-0.052014,0.010586,128.87817109628,-43.60939727351,0.6127,0.3699,-5.848,0.413,6.126,0.413,20.11039,0.005277,2.308451,0.11183435858643369
Gaia EDR3 5523422126996851328,-0.045307,0.023316,128.88744768537,-43.59667252148,-0.0902,0.895,-4.069,0.944,3.239,1.134,20.839163,0.010093,1.500654,0.24103424159903136
Gaia EDR3 5523422126996862464,-0.044534,0.019459,128.88851069531,-43.60053057451,0.5692,0.251,-2.37,0.252,2.818,0.307,19.505657,0.004451,2.359411,0.1066858881444368
Gaia EDR3 5523422126996874368,-0.043522,0.017226,128.88990552309,-43.60276426419,-0.0263,0.274,-3.183,0.28,4.587,0.295,19.701422,0.004382,2.149961,0.09009546104676935
Gaia EDR3 5523422126996887680,-0.047849,0.002883,128.88391491468,-43.617103661,,,,,,,20.980858,0.01867,,
Gaia EDR3 5523422126996887808,-0.047698,0.003193,128.88412326976,-43.61679355908,-0.2963,0.4503,-6.088,0.448,5.089,0.485,20.149925,0.005751,2.304048,0.11066704561363422
Gaia EDR3 5523422126996900864,-0.039604,0.013353,128.89531284858,-43.6066397481,0.3334,0.308,-7.439,0.314,8.537,0.333,19.837835,0.004501,1.912802,0.12034201539988658
Gaia EDR3 5523422126998620032,-0.047658,0.013523,128.88419091556,-43.60646407465,-0.3578,0.4331,-0.987,0.464,2.759,0.498,20.296148,0.005702,2.169685,0.12739281335530248
Gaia EDR3 5523422126998620160,-0.051318,0.016189,128.87913959529,-43.60379467937,0.1577,0.31,-1.916,0.323,4.482,0.345,19.869905,0.004575,2.261198,0.07995994356410656
Gaia EDR3 5523422127001149312,-0.045572,0.017996,128.88707520883,-43.60199279201,0.2059,0.3523,-2.082,0.346,5.706,0.538,19.474106,0.007186,2.396526,2.1294416897274067
Gaia EDR3 5523422127001149440,-0.045015,0.018195,128.88784528219,-43.60179358251,0.2569,0.0119,-3.484,0.012,4.014,0.013,13.508204,0.002777,2.545196,0.004886202748860206
Gaia EDR3 5523422127001149568,-0.049384,0.009614,128.88180180126,-43.61037204226,0.3013,0.0549,-3.272,0.057,3.569,0.062,17.193058,0.002857,1.685064,0.00862651925192268
Gaia EDR3 5523422157061124480,-0.066114,0.011332,128.85869832208,-43.60863792398,0.1493,0.0803,-3.425,0.086,4.168,0.094,17.866257,0.002954,1.872976,0.02001059154210495
Gaia EDR3 5523422157061125504,-0.061983,0.015532,128.86441040701,-43.60444147853,0.073,0.1161,-2.583,0.133,2.995,0.147,18.435543,0.003145,2.038998,0.03307384207121419
Gaia EDR3 5523422157061127296,-0.065352,0.017667,128.8597608437,-43.6023030757,0.6398,0.0813,-7.603,0.088,6.419,0.095,17.861732,0.002959,1.581181,0.016997868063641855
Gaia EDR3 5523422157061132416,-0.065815,0.021335,128.85912641677,-43.59863523445,0.256,0.1955,-2.834,0.203,3.354,0.222,19.195318,0.003626,2.050825,0.061594481387049795
Gaia EDR3 5523422157061133056,-0.062153,0.022331,128.86418537853,-43.59764318873,0.2966,0.0708,-3.818,0.078,2.934,0.083,17.562685,0.002904,2.187759,0.019190054174623678
Gaia EDR3 5523422157062199424,-0.064238,0.022894,128.86130620058,-43.59707732765,-0.377,0.3532,-3.724,0.356,5.966,0.38,19.844852,0.004566,2.442324,0.09162741658786054
Gaia EDR3 5523422157062582912,-0.06297,0.012047,128.86304167769,-43.60792619571,0.3251,0.1046,-3.541,0.115,5.764,0.135,18.301048,0.003054,1.871246,0.035744581084117905
Gaia EDR3 5523422161356498944,-0.068056,0.013204,128.85602014179,-43.60676303283,2.3757,1.1892,-3.782,1.518,2.943,1.213,20.856867,0.013872,1.801104,0.17883677502403908
Gaia EDR3 5523422161356509056,-0.068198,0.009269,128.85581668955,-43.61069847824,0.4507,0.3051,-3.078,0.317,2.955,0.336,19.871723,0.004626,2.169756,0.09504108076300878
Gaia EDR3 5523422161356531584,-0.063218,0.010661,128.86269711587,-43.60931144,0.6317,0.4269,-2.587,0.472,4.738,0.514,20.29123,0.00644,1.82435,0.11283981599160423
Gaia EDR3 5523422161358358784,-0.063955,0.022483,128.86169680567,-43.59748913083,0.9607,0.4348,-2.415,0.507,3.192,0.463,20.247854,0.009092,1.249434,0.6983026658116336
Gaia EDR3 5523422161360874624,-0.064194,0.012963,128.86135291657,-43.60700870581,0.3018,0.015,-4.008,0.016,3.672,0.017,14.270368,0.002819,1.634226,0.005392394080731966
Gaia EDR3 5523422161361002240,-0.064769,0.021087,128.86057092729,-43.5988835813,-0.7562,0.4716,-1.348,0.552,4.44,0.563,20.278704,0.00572,2.092623,0.17847395466503999
Gaia EDR3 5523422191420868736,-0.057151,0.019779,128.87108778735,-43.60019969466,0.7645,0.1829,-3.603,0.199,3.874,0.227,19.074636,0.003466,2.287115,0.05769338366251734
Gaia EDR3 5523422191420870912,-0.054062,0.022629,128.87535777569,-43.59735273373,0.1131,0.2452,-0.478,0.259,1.797,0.266,19.489716,0.00435,,
Gaia EDR3 5523422191420872832,-0.049455,0.024946,128.88172128713,-43.59503984287,0.6133,0.2816,0.661,0.319,1.29,0.309,19.752888,0.00439,2.650452,0.10027554813767994
Gaia EDR3 5523422191420874752,-0.060489,0.026824,128.86648884729,-43.59315178102,0.5819,0.235,-3.888,0.261,4.748,0.256,19.494417,0.004004,2.163727,0.10662554912670219
Gaia EDR3 5523422191420876800,-0.051518,0.030145,128.87887872435,-43.58983891878,-0.0088,0.1469,-2.611,0.162,2.964,0.175,18.853367,0.003437,1.957954,0.04377489201736103
