EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 5588805818600220032,-0.040652,-0.031213,114.64270974564,-33.87454274773,0.8809,0.1229,-0.498,0.118,8.836,0.121,18.402655,0.00312,1.96784,0.024705500100476487
Gaia EDR3 5588805818600220160,-0.044101,-0.030583,114.63855652538,-33.87391094521,0.4824,0.372,0.634,0.328,1.962,0.347,19.94943,0.007488,1.869225,0.08518352437902103
Gaia EDR3 5588805818600229376,-0.040284,-0.027594,114.64315517104,-33.87092352551,0.0903,0.0486,-0.612,0.045,1.348,0.048,16.63288,0.002819,1.833843,0.007816442439232223
Gaia EDR3 5588805818600233216,-0.040759,-0.025414,114.64258496314,-33.86874344964,0.4681,0.2882,-0.66,0.281,1.249,0.289,19.65978,0.004357,1.798672,0.06980217957270196
Gaia EDR3 5588805818600235264,-0.034774,-0.024714,114.64979333643,-33.8680460083,0.9667,0.4401,-1.238,0.418,1.808,0.508,20.192186,0.005877,1.39592,0.09622403320160851
Gaia EDR3 5588805818600240768,-0.043577,-0.023497,114.63919167097,-33.86682573436,0.4689,0.0846,-1.509,0.081,1.887,0.088,16.79632,0.003314,1.362538,0.007743799090077981
Gaia EDR3 5588805818600243200,-0.036737,-0.02218,114.64742973256,-33.8655113876,-0.1307,0.3645,-2.222,0.353,2.848,0.366,20.016098,0.00504,1.62026,0.10065199374127193
Gaia EDR3 5588805818600255872,-0.039179,-0.017295,114.64449209551,-33.86062532035,-0.0026,0.1584,-0.864,0.152,1.733,0.158,18.883469,0.003417,1.450287,0.027807417460071433
Gaia EDR3 5588805818600258688,-0.041196,-0.016826,114.64206302078,-33.86015576611,0.2697,0.0794,-1.194,0.076,2.822,0.079,17.725925,0.002922,0.833389,0.011344136383472841
Gaia EDR3 5588805822890412672,-0.039591,-0.018326,114.64399474592,-33.86165615246,0.9236,0.4751,-2.383,0.456,5.251,0.513,20.260668,0.005843,1.570755,0.11772329095902918
Gaia EDR3 5588805822890414848,-0.041563,-0.020789,114.64161840364,-33.86411834746,0.0591,0.4807,-0.82,0.49,1.626,0.522,20.359724,0.006085,1.202305,0.1182665912199998
Gaia EDR3 5588805822895312896,-0.04411,-0.027419,114.63854717423,-33.87074739659,-0.1263,0.3951,-0.667,0.372,3.192,0.393,20.040358,0.005026,1.672365,0.091057053699115
