EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 2033896335872601088,0.000846,0.003695,297.76100651084,32.24370154174,-0.1442,0.1585,-2.786,0.145,-4.226,0.176,18.802917,0.003342,1.518829,0.04826303366552052,0.9853,1
Gaia EDR3 2033899290810273792,-0.011076,0.010479,297.74691011288,32.25048472185,0.0334,0.1945,-2.489,0.171,-3.84,0.225,19.126846,0.003527,1.49786,0.0339598497866881,0.9837,1
Gaia EDR3 2033896267152897920,0.01698,-0.004962,297.78008114186,32.23504200555,-0.1319,0.4242,-2.662,0.407,-4.349,0.449,19.826366,0.006255,1.838398,0.0724174961413194,0.984,1
Gaia EDR3 2033896198433707392,-0.018428,-0.021359,297.73822470158,32.21864487045,0.329,0.1947,-2.769,0.176,-4.11,0.205,19.133718,0.003533,1.611042,0.04756362593540828,0.9587,1
Gaia EDR3 2033899290810217216,-0.006334,0.010009,297.75251742692,32.25001478465,0.1859,0.2134,-2.326,0.188,-4.186,0.235,19.167957,0.003601,1.433008,0.049822715608656594,0.9739,1
Gaia EDR3 2033899290810217344,-0.00633,0.009569,297.75252241441,32.24957449739,-0.2177,0.3131,-2.686,0.297,-4.239,0.317,19.664124,0.004859,,,0.9859,1
Gaia EDR3 2033899393889554048,-0.005693,0.032973,297.75327294454,32.27297869424,0.101,0.1197,-2.73,0.108,-4.407,0.132,18.372192,0.003117,2.53223,0.02757490077436432,0.9627,1
Gaia EDR3 2033899359529846912,-0.016683,0.018633,297.74027865638,32.25863705216,0.2762,0.3343,-2.705,0.284,-4.331,0.369,19.848398,0.00545,1.738262,0.31099237703007104,0.9786,1
Gaia EDR3 2033896164073802624,0.000697,-0.011924,297.76083057919,32.22808209438,0.0594,0.2507,-2.608,0.227,-3.798,0.277,19.491201,0.003817,1.501745,0.05750490342543403,0.9813,1
Gaia EDR3 2033896370257426176,0.004611,0.017966,297.76545903779,32.25797175232,0.0501,0.082,-2.288,0.074,-4.096,0.091,17.799267,0.002909,2.409842,0.016008271300063753,0.9676,1
Gaia EDR3 2033896267152963840,0.00788,-0.008499,297.76932230111,32.23150648573,-0.1508,0.208,-2.684,0.189,-3.887,0.231,19.18262,0.00361,1.586439,0.04610361825680776,0.9814,1
Gaia EDR3 2033899290835393536,-0.009759,0.008869,297.74846755591,32.24887450169,-0.0704,0.3479,-2.721,0.311,-4.395,0.386,19.83397,0.004377,2.042952,0.07362626065324926,0.984,1
Gaia EDR3 2033899187731130496,-0.02067,0.006924,297.73556747532,32.24692744075,0.1399,0.1588,-2.298,0.145,-4.038,0.174,18.82922,0.003337,1.581194,0.034041550201057154,0.9723,1
Gaia EDR3 2033896232793482496,-0.010936,-0.001604,297.74707793667,32.23840111395,0.3565,0.3157,-2.721,0.279,-4.014,0.355,19.78506,0.004566,1.788313,0.06725408248204823,0.9842,1
Gaia EDR3 2033896198435600384,-0.02285,-0.020603,297.73299735193,32.21940005407,0.2532,0.351,-2.471,0.312,-3.868,0.353,19.825989,0.004759,1.357862,0.09186590724817251,0.9504,1
Gaia EDR3 2033896262841085312,0.007299,-0.007582,297.76863552694,32.23242343815,0.3217,0.1,-2.728,0.094,-3.927,0.116,18.04898,0.003,1.559992,0.021428310642494307,0.9807,1
Gaia EDR3 2033896232797571840,-0.008192,-0.013166,297.75032319007,32.22684009602,-0.0172,0.5459,-2.48,0.474,-3.801,0.6,20.266752,0.005671,1.901215,0.11976063696893355,0.9829,1
Gaia EDR3 2033899290810221440,-0.008059,0.007235,297.75047783999,32.24724069988,-0.044,0.1844,-2.7,0.167,-3.792,0.197,19.01817,0.003419,1.450195,0.046481271638963505,0.9772,1
Gaia EDR3 2033896232793388288,-0.004843,-0.005884,297.75428055689,32.23412241995,-0.2769,0.2463,-2.527,0.19,-4.049,0.305,19.21124,0.00385,,,0.9872,1
Gaia EDR3 2033899325169949440,0.002609,0.024976,297.76309159773,32.26498170476,0.1763,0.3466,-2.739,0.3,-3.804,0.372,19.965118,0.004722,1.758352,0.07908656829972883,0.9612,1
Gaia EDR3 2033899290810201600,-0.007722,0.004836,297.75087594327,32.24484190696,-0.0659,0.1226,-2.513,0.11,-3.796,0.14,18.473057,0.003091,1.684351,0.02336178038547074,0.9849,1
Gaia EDR3 2033896331561250816,-0.001618,0.004855,297.75809405978,32.24486124513,-0.0023,0.0937,-2.742,0.086,-3.786,0.103,17.861534,0.003308,1.92593,0.039823592488363174,0.9744,1
Gaia EDR3 2033896164098970240,0.00169,-0.019137,297.76200375321,32.22086883422,0.1069,0.0484,-2.267,0.044,-4.236,0.053,16.797258,0.002828,2.182079,0.008592651102282502,0.9525,1
Gaia EDR3 2033896335872591744,0.001031,0.002493,297.76122596161,32.24249897702,-0.1117,0.1146,-2.642,0.102,-4.435,0.132,18.319067,0.003093,1.603716,0.027404135336223562,0.985,1
Gaia EDR3 2033899320856612992,-0.000451,0.022129,297.75947354401,32.26213518521,0.1369,0.0924,-2.542,0.081,-3.764,0.103,17.91847,0.003747,1.519032,0.022002799294230456,0.9764,1
Gaia EDR3 2033896232793408128,-0.009593,-0.011443,297.7486666991,32.22856294794,0.2493,0.165,-2.404,0.15,-3.873,0.184,18.879538,0.003437,1.250568,0.037726065449449744,0.9832,1
Gaia EDR3 2033896232818460160,-0.002783,-0.010699,297.75671619539,32.229307415,0.067,0.035,-2.976,0.033,-4.066,0.04,16.179176,0.00281,2.137962,0.010572906554980475,0.9566,1
Gaia EDR3 2033899183418412032,-0.01444,0.005145,297.74293359847,32.24514977656,0.063,0.2852,-2.371,0.248,-3.831,0.312,19.68958,0.004141,1.497599,0.06354514688945953,0.9823,1
Gaia EDR3 2033896335897684480,-0.00341,0.000647,297.75597508663,32.24065299695,0.3067,0.3385,-2.349,0.292,-4.229,0.396,19.868767,0.004676,,,0.9773,1
Gaia EDR3 2033896164073838592,-0.002394,-0.012437,297.75717654212,32.22756909677,0.142,0.1608,-2.244,0.15,-4.146,0.186,18.765959,0.003301,1.609468,0.03734563680949948,0.9638,1
Gaia EDR3 2033899290810206080,-0.006108,0.008735,297.75278466097,32.24874076132,0.0272,0.3375,-2.781,0.309,-4.451,0.37,19.89719,0.004903,1.477213,0.1235898955211035,0.9833,1
Gaia EDR3 2033896164073712000,0.002037,-0.026355,297.7624140827,32.2136510977,-0.1411,0.2123,-2.314,0.188,-3.979,0.222,19.247965,0.003805,1.494383,0.03979745142210622,0.9589,1
Gaia EDR3 2033896335872547328,0.000872,-0.004383,297.7610369862,32.23562331273,-0.2779,0.2295,-2.726,0.201,-3.976,0.249,19.310047,0.003851,1.525782,0.051346511862929406,0.9837,1
