EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final
Gaia EDR3 5241870390694037760,-0.003842,0.002827,163.55190133067,-61.73717704616,1.2815,0.5294,-4.513,0.503,1.597,0.63,19.579763,0.008289,1.697281,0.10631939374391013,0.9394
Gaia EDR3 5241870390694038016,-0.00483,0.001555,163.5498140121,-61.73844837323,0.2381,0.7055,-4.018,0.635,1.848,0.585,19.787823,0.006845,nan,nan,0.9712
Gaia EDR3 5241870420713089408,0.007324,0.000338,163.57548385626,-61.73966544938,1.0272,0.6434,-4.09,0.9,2.085,0.696,20.242172,0.007277,0.708633,0.16226703403651063,0.9667
Gaia EDR3 5241870420746445824,0.006876,-0.002696,163.57453877388,-61.74269937666,-0.1651,0.9731,-4.008,1.429,1.578,1.351,20.650341,0.010666,1.13599,0.24133893894453062,0.939
Gaia EDR3 5241870420746648960,0.007094,-0.000203,163.57499722527,-61.7402064041,-0.0374,0.3642,-4.252,0.409,1.795,0.353,19.763163,0.004688,1.557384,0.0825736725668068,0.9706
Gaia EDR3 5241870489421604352,-0.004059,0.007549,163.55144344684,-61.73245454696,0.0421,0.0856,-4.571,0.094,1.894,0.085,17.761126,0.00297,2.053017,0.04923598818611915,0.9686
Gaia EDR3 5241870489421606784,0.001295,0.000672,163.56275052346,-61.73933212062,0.1014,0.0976,-4.731,0.113,1.809,0.096,17.931889,0.003027,2.163652,0.01767541985464579,0.9534
Gaia EDR3 5241870489432548352,0.001535,0.008078,163.56325602578,-61.73192625524,-0.1431,0.2292,-4.006,0.269,1.735,0.217,19.175537,0.004318,1.683031,0.03954770757165741,0.9637
Gaia EDR3 5241870489466069760,0.001099,0.005076,163.5623357429,-61.734928163,-0.347,0.1593,-4.565,0.185,2.027,0.162,18.635736,0.003656,1.521669,0.03363361393449171,0.9737
Gaia EDR3 5241870489466070528,0.003846,0.000357,163.56813824417,-61.73964692499,0.1115,0.2131,-4.669,0.243,1.98,0.207,19.044144,0.003684,1.856934,0.26033403044777215,0.9687
Gaia EDR3 5241870489466073216,-0.005256,0.006704,163.54891707965,-61.7332995574,0.2929,0.0914,-4.122,0.101,1.655,0.091,17.42175,0.00338,2.036375,0.014237185013258295,0.9567
Gaia EDR3 5241870489466076672,-0.001685,0.003051,163.55645720168,-61.73695272789,0.5507,0.7483,-3.949,0.958,1.723,0.746,20.368866,0.00861,nan,nan,0.9624
Gaia EDR3 5241870489466078976,0.000671,0.005417,163.56143104087,-61.73458747023,-0.3223,0.3099,-4.166,0.451,2.427,0.332,19.509394,0.005392,1.403065,0.8185000452269884,0.9394
Gaia EDR3 5241870489466079744,0.001048,0.006289,163.56222825246,-61.73371488681,-0.0402,0.6273,-4.498,0.755,2.033,0.644,20.035086,0.007387,nan,nan,0.9749
Gaia EDR3 5241870489466081024,0.002312,0.001361,163.56489767545,-61.73864281351,-0.2738,0.3905,-4.727,0.441,1.422,0.363,19.876633,0.005277,1.443974,0.10051610982018686,0.8783
Gaia EDR3 5241870489466082688,0.004253,0.007871,163.568994683,-61.73213225242,-0.0053,0.3884,-4.997,0.451,1.983,0.397,19.938728,0.005127,nan,nan,0.9428
Gaia EDR3 5241870489466088064,-0.002956,0.007233,163.55377314078,-61.73277090743,-0.4127,0.7385,-4.96,0.8,1.542,0.847,20.324274,0.007929,1.667032,0.3248745722185689,0.8893
Gaia EDR3 5241870489466095360,0.003739,0.007582,163.56790984822,-61.73242197025,-0.5918,1.1281,-4.259,1.269,1.801,2.178,20.722193,0.011846,nan,nan,0.9711
Gaia EDR3 5241870489466124672,0.006042,0.001669,163.57277581735,-61.738334104,0.0832,0.3613,-4.074,0.431,1.905,0.319,19.580063,0.004541,1.722729,0.06717719404228636,0.9725
