EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,probs_final,membs_select
Gaia EDR3 3046146662096790272,0.009042,0.04108,106.67590656931,-11.69225878829,0.1423,0.0854,-0.458,0.088,1.478,0.078,16.976767,0.002943,0.930349,0.013337726221874053,0.9962,1
Gaia EDR3 3046143402225595776,0.064995,0.012966,106.7330513453,-11.72036558644,0.0423,0.1851,-0.64,0.168,1.478,0.167,18.174185,0.003356,1.171768,0.03276960977369782,0.983,1
Gaia EDR3 3046141924756552320,0.015191,-0.001909,106.68218810577,-11.73524780598,0.2869,0.0619,-0.638,0.059,1.391,0.055,16.535955,0.003021,1.265434,0.010574689105358803,0.9972,1
Gaia EDR3 3046144772311034240,0.005001,-0.004961,106.67178115142,-11.73830064038,0.189,0.0555,-0.447,0.056,1.451,0.053,16.383419,0.002854,1.373196,0.007969184733560647,0.9966,1
Gaia EDR3 3046144364298011904,-0.015829,-0.028147,106.65050454899,-11.76148593148,0.2715,0.0798,-0.531,0.079,1.482,0.069,16.91747,0.002929,1.325636,0.010165580274477276,0.9928,1
Gaia EDR3 3046145051492759296,-0.023982,0.006659,106.64217970738,-11.72667916374,0.2208,0.1106,-0.639,0.117,1.29,0.097,17.502625,0.003014,1.367828,0.013736510167960273,0.9952,1
Gaia EDR3 3046146524657816704,0.053988,0.034965,106.72180629407,-11.69836901172,0.0044,0.1421,-0.6,0.134,1.454,0.117,17.817318,0.003203,1.268238,0.023673058506534568,0.9878,1
Gaia EDR3 3046144982773253760,0.004285,0.02689,106.67104926395,-11.70644894785,0.2186,0.0775,-0.687,0.079,1.31,0.069,16.801888,0.00295,1.107412,0.018920726129628054,0.9962,1
Gaia EDR3 3046144982773255680,0.014257,0.017048,106.68123337255,-11.71629137654,0.0242,0.0906,-0.512,0.089,1.468,0.082,17.260447,0.003003,1.170275,0.01615268959587129,0.9972,1
Gaia EDR3 3046144845334325376,-0.017854,0.007226,106.64843856676,-11.72611265805,0.1863,0.098,-0.653,0.1,1.552,0.092,17.218346,0.002991,1.251741,0.02153368714386308,0.9951,1
