EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP probs_final
"Gaia EDR3 5246365743927329152" 0.063228 -0.132342 150.95896779118 -64.88227298888 0.4796 0.2798 -5.519 0.332 2.738 0.291 19.724361 0.004486 0.902987 0.05986578502242472 0.0
"Gaia EDR3 5246365743927329280" 0.068775 -0.138049 150.97207024115 -64.8879661743 0.1492 0.1258 -5.169 0.17 2.662 0.137 18.415041 0.003268 0.795116 0.026431062999368097 0.0
"Gaia EDR3 5246365743927329536" 0.070126 -0.139207 150.97526119281 -64.88912003826 0.0428 0.1115 -5.568 0.152 4.322 0.118 18.197643 0.003099 1.013775 0.020820006419661 0.0
"Gaia EDR3 5246365743927331200" 0.073246 -0.141425 150.98262694198 -64.8913300809 0.4541 0.2258 -1.975 0.278 2.563 0.226 19.325012 0.00406 1.241037 0.05818829629828267 0.0
"Gaia EDR3 5246365743927331584" 0.063926 -0.130191 150.96060068163 -64.88012033032 -0.0272 0.1664 -6.252 0.221 3.503 0.174 18.888762 0.003488 1.071123 0.031255807021210814 0.0
"Gaia EDR3 5246365743927332224" 0.071327 -0.136517 150.97807344682 -64.88642773301 0.0977 0.1855 -4.474 0.223 2.471 0.196 19.093575 0.003797 1.366709 0.03899273071282242 0.0
"Gaia EDR3 5246365743927982592" 0.06885 -0.148663 150.9723100124 -64.89857965314 1.1369 0.6226 -13.908 0.927 1.653 0.684 20.160765 0.007004 1.54344 0.10194605201096059 0.0
"Gaia EDR3 5246365743927985536" 0.063799 -0.141555 150.96036582691 -64.89148444796 -0.4449 0.4085 -5.39 0.504 3.565 0.456 20.059055 0.00544 1.172987 0.11021288280165277 0.0
"Gaia EDR3 5246365743927999104" 0.069208 -0.14061 150.97310507286 -64.8905254899 1.4032 0.9104 -5.252 1.194 2.27 1.126 20.376133 0.009657 "" "" 0.0
"Gaia EDR3 5246365743929353088" 0.065355 -0.142879 150.96404034832 -64.89280488109 -0.6273 0.5965 -5.333 0.759 3.548 0.757 20.352875 0.007756 1.076168 0.11629036565045119 0.0
"Gaia EDR3 5246365743929355136" 0.07194 -0.14274 150.97955645606 -64.8926486356 -0.2957 0.761 -3.135 1.186 2.722 0.949 20.571764 0.008731 0.672905 0.17788820947356088 0.0
"Gaia EDR3 5246365743930899840" 0.072455 -0.144051 150.98078055417 -64.89395812238 2.0802 1.1556 -4.197 1.438 4.554 1.18 20.815777 0.011803 1.38294 0.28565090037368707 0.0
"Gaia EDR3 5246365743930900096" 0.068382 -0.148217 150.97120409425 -64.89813484382 0.6935 0.5832 -0.711 0.683 -2.955 0.749 20.418814 0.007538 1.888716 0.16220262487377352 0.0
"Gaia EDR3 5246365743931333504" 0.068161 -0.133225 150.97059385737 -64.88314383606 0.0676 0.8697 -1.633 2.022 2.951 1.314 20.611872 0.009731 0.946781 0.1287248204089134 0.0
"Gaia EDR3 5246365743931589120" 0.072645 -0.137368 150.98118478945 -64.88727457313 1.29 0.6866 -5.787 0.913 2.97 0.91 20.536987 0.008899 1.141918 0.16978513314433688 0.0
"Gaia EDR3 5246365743931589632" 0.064464 -0.13958 150.96192080913 -64.88950755492 -0.5457 0.9075 1.481 1.618 -0.996 1.684 20.70136 0.012034 1.858547 0.19195150230101432 0.0
"Gaia EDR3 5246365743939465856" 0.069371 -0.149472 150.97354333968 -64.89938733392 0.6688 0.0219 -8.647 0.026 6.341 0.023 15.14861 0.00277 0.857536 0.005065439773416715 0.0
"Gaia EDR3 5246365743939467136" 0.06261 -0.133998 150.95752231035 -64.88392969388 0.2546 0.0968 -4.403 0.132 3.761 0.115 18.072445 0.003106 0.81288 0.021642728983855004 0.0
"Gaia EDR3 5246365743939467392" 0.064967 -0.133124 150.96306836239 -64.88305036724 0.5558 0.0497 -8.628 0.06 2.518 0.051 16.918554 0.002846 1.020451 0.00882373348527858 0.0
"Gaia EDR3 5246365743939467648" 0.064858 -0.131905 150.96280673979 -64.88183202928 0.3433 0.0358 -7.174 0.043 4.927 0.036 16.256811 0.002806 0.917592 0.006403915562951852 0.0
"Gaia EDR3 5246365773984088448" 0.085803 -0.147163 151.01226178548 -64.8970305928 0.3237 0.0348 -4.762 0.042 2.01 0.035 16.026966 0.002801 0.856105 0.00585402841827022 0.0
"Gaia EDR3 5246365773984114176" 0.087067 -0.139901 151.0151848835 -64.88976450408 0.4327 0.092 -6.455 0.111 5.032 0.096 17.966658 0.003027 1.134766 0.016248410327789734 0.0
"Gaia EDR3 5246365773984131200" 0.089996 -0.135854 151.02205704639 -64.88570847997 0.0994 0.0282 -4.779 0.034 3.904 0.029 15.630043 0.00278 1.411365 0.006563912979295431 0.0
